gene_name,17DPi_FPKM,18DPi_FPKM,AC_FPKM,D22_FPKM,NEW_FPKM,gene_id
Gm29670,0,0,0,0,0,ENSMUSG00000100302
2600014E21Rik,0,0,0,0,0.317851283,ENSMUSG00000100303
Gm28191,0,0,0,0,0,ENSMUSG00000100300
6030407O03Rik,0.096616771,0,0,0,0,ENSMUSG00000100301
Gm29362,0,0.635872299,0,0,0.600380947,ENSMUSG00000100306
Gm29546,0,0,0,0,0,ENSMUSG00000100307
Gm28360,0,0,0,0,0,ENSMUSG00000100305
Gm29410,0,0,0,0,0,ENSMUSG00000100308
Usp17lb,0,0,0,0,0,ENSMUSG00000062369
Pld2,6.807697552,6.902698541,5.792134645,6.373613971,1.113337393,ENSMUSG00000020828
Slc46a1,4.259420237,2.976908626,4.826056278,3.635332229,1.27577021,ENSMUSG00000020829
Serpini1,0.048700351,0.104785796,1.235397552,0.081897666,23.65367626,ENSMUSG00000027834
Pdcd10,8.87788561,8.441814761,11.43695379,9.863888686,8.6815839,ENSMUSG00000027835
Sec14l1,12.63487404,12.40809968,25.20910657,13.99829297,21.27733615,ENSMUSG00000020823
Ptx3,129.5291924,164.0557722,18.47796482,113.6388027,4.584233156,ENSMUSG00000027832
Kif1c,49.39539199,36.05941986,31.6928446,44.00861328,3.630947466,ENSMUSG00000020821
Gm5549,0,0,0,0,0,ENSMUSG00000091721
2310040G24Rik,0.120789922,0.519827875,0.188357414,0.253964594,0.797543856,ENSMUSG00000101655
Gm29653,0,0,0,0,0,ENSMUSG00000101654
Gm8220,0,0,0,0,0,ENSMUSG00000091725
Gm28402,0,0,0,0,0,ENSMUSG00000101651
Gm6820,0,0,0,0,0,ENSMUSG00000101650
Cytl1,0,0,0,0,0,ENSMUSG00000062329
Gm29009,0,0,0,0,0,ENSMUSG00000101659
Scgb1b28-ps,0,0,0,0,0,ENSMUSG00000101658
Prl7c1,0,0,0,0,0,ENSMUSG00000060738
Ccl20,0,0.07291022,0,0.071232637,0,ENSMUSG00000026166
Gm29019,0,0,0,0,0.750854347,ENSMUSG00000100552
Ipmk,1.258104531,1.361751259,2.169696302,1.544158036,1.874808555,ENSMUSG00000060733
Rxfp3,0,0,0,0.077347813,1.083675415,ENSMUSG00000060735
Gm26604,0,0,0,0,0.817827811,ENSMUSG00000097079
Gm26566,0,0.081474967,0.078782415,0,0,ENSMUSG00000097078
Tmcc1,1.476082129,1.245337607,1.21191645,1.405561912,2.868663249,ENSMUSG00000030126
Cops7a,19.1419193,15.57326159,11.77107961,15.92438417,8.962732222,ENSMUSG00000030127
Lag3,0.109079128,0.273807155,0.340180836,0.191070898,0.443118619,ENSMUSG00000030124
Lrrc23,2.106799831,3.267692073,0.938792738,2.329549072,0.250114028,ENSMUSG00000030125
Gm16712,0.080239019,0.215826662,0.250290712,0,0.163004349,ENSMUSG00000097077
Platr7,0,0,0,0,0,ENSMUSG00000097076
Mlf2,30.29483563,23.23436439,26.82380319,28.91214869,36.8082039,ENSMUSG00000030120
4833428L15Rik,0,0,0,0,0,ENSMUSG00000097074
Gm42636,0.140480999,0.604606688,0.365157345,0.332231444,0.107028968,ENSMUSG00000104682
Gm43001,0,0,0,0,0,ENSMUSG00000104681
Gm42899,0,0,0,0,0,ENSMUSG00000104687
Gm42815,0.213970718,0.115118789,0,0.281147178,0.108698771,ENSMUSG00000104686
5430427N15Rik,0.624356865,0.707130637,0.512486813,0.449029714,0.066772751,ENSMUSG00000104684
Mast3,4.245784627,5.123359681,5.28812313,4.741800474,10.34743337,ENSMUSG00000031833
Taf1c,2.172353768,3.284319312,1.810815456,2.775536606,3.652269228,ENSMUSG00000031832
Dnaaf1,0,0.479870392,0.318810153,0.205110706,0,ENSMUSG00000031831
Necab2,0.12359016,0.432188109,0.481878563,0.097428448,9.823468894,ENSMUSG00000031837
Pbx3,0.582026539,0.341581024,0.696835355,0.435665142,5.00727046,ENSMUSG00000038718
Mbtps1,21.14338967,23.34912445,25.21994691,21.33550432,23.925787,ENSMUSG00000031835
Pik3r2,11.73702811,8.55188679,11.26665552,11.98904556,22.2292157,ENSMUSG00000031834
Gm42551,0.149992469,0,0,0.052526669,0,ENSMUSG00000105374
Gm42487,0,0,0,0,0,ENSMUSG00000105376
Ifi30,5.857556896,10.36001685,7.425009705,11.30198261,3.504703026,ENSMUSG00000031838
Rarres1,0.771532486,0.319260571,3.270388618,0.561408456,0.120594108,ENSMUSG00000049404
Kcnd2,0.29000116,0,0.031745399,0.256693227,9.550212039,ENSMUSG00000060882
Fam63a,7.27074129,4.340725595,2.785444743,4.247308607,2.515373982,ENSMUSG00000038712
Gm42534,0.044851583,0,0.186440992,0,0,ENSMUSG00000105086
Gm42552,0,0,0,0,0,ENSMUSG00000105087
Gm43365,0.07467639,0.080353571,0.077660159,0.039232882,0.075872361,ENSMUSG00000105084
Gm42567,0,0,0.2323186,0,0,ENSMUSG00000105085
Aqp10-ps,0,0,0,0,0,ENSMUSG00000105082
Gm42699,0,0,0,0,0,ENSMUSG00000105083
Trav7n-6,0,0,0,0,0,ENSMUSG00000105080
Iglj2,0,0,0,0,0,ENSMUSG00000104975
Gm43686,0,0,0.067057111,0.033876363,0,ENSMUSG00000104974
9430087B13Rik,0,0,0,0,0,ENSMUSG00000104971
Gm43137,0.397202279,0.712155314,0,0,0.269002008,ENSMUSG00000104970
A530041M06Rik,0.068736223,0.036962857,0.285854458,0,0,ENSMUSG00000104973
Mypop,2.663072139,2.189218206,3.655515321,1.871401046,2.127557421,ENSMUSG00000048481
Zfp35,8.87234664,6.735150543,8.041424277,7.368368853,11.90233035,ENSMUSG00000063281
Gm8995,0.021602813,0,1.010753524,0,0,ENSMUSG00000063286
Slc25a48,0.046611878,0.025065506,0.654274017,0.122491509,0.094691323,ENSMUSG00000021509
Cts3,0,0,0,0,0,ENSMUSG00000074870
Traf1,1.242107538,2.381500324,5.888021703,2.400852992,0.047834784,ENSMUSG00000026875
Hc,0.26109758,0.439710985,1.180290595,0.513100364,0.046122207,ENSMUSG00000026874
Phf19,0.160443771,0.284323033,0.951828084,0.297613792,1.370868899,ENSMUSG00000026873
Zeb2,5.374813304,5.021647582,2.082436831,3.418366164,7.271528482,ENSMUSG00000026872
Cutal,1.252995474,1.603584642,1.083348241,1.400246468,0,ENSMUSG00000026870
Ctxn2,0,0,0,0,1.08779452,ENSMUSG00000074872
Gsn,36.60369449,54.15674085,83.9867805,56.99970494,3.046990767,ENSMUSG00000026879
Rab14,12.75053786,12.06956071,12.76733488,13.22696213,15.9392268,ENSMUSG00000026878
AI606181,0.646860849,0.756503531,0.789528088,1.09379591,2.199679669,ENSMUSG00000074873
4930426D05Rik,0,0,0,0,0.03649776,ENSMUSG00000043168
Gm37218,0,0,0,0,0,ENSMUSG00000102688
Tmem212,0.219648712,0.82715765,0,0.230909149,0,ENSMUSG00000043164
Lor,0,0,0,0,2.244932743,ENSMUSG00000043165
Gm37219,0,0,0,0,0,ENSMUSG00000102687
Gm37220,0,0,0,0,0,ENSMUSG00000102686
Gm37221,0,0,0,0,0,ENSMUSG00000102681
Gm37222,0,0,0,0,0,ENSMUSG00000102680
Gm37375,0,0,0,0,0,ENSMUSG00000102683
Gm37223,0,0,0,0,0,ENSMUSG00000102682
B4galt7,3.419661543,2.393351545,3.227552725,3.193181333,4.85620871,ENSMUSG00000021504
Hrk,0.182627629,0.042102793,0.149197651,0.164549379,15.27790435,ENSMUSG00000046607
Prpf18,6.040415757,7.575111551,11.41693991,6.286198003,9.538611108,ENSMUSG00000039449
2010107E04Rik,163.0876845,122.1582345,99.45488403,186.3726427,207.6735983,ENSMUSG00000021290
A930011G23Rik,0,0.007263679,0.049157944,0.007096491,0.192090143,ENSMUSG00000089809
Fezf1,0,0,0.067892194,0,0.895213369,ENSMUSG00000029697
Aass,1.596650648,2.381643086,13.58247795,3.165876781,0.129009318,ENSMUSG00000029695
Ssc4d,0.068646215,0.135413083,0.285492811,0.048110272,0.08135114,ENSMUSG00000029699
Gm16136,0,0,0.17075758,0,0,ENSMUSG00000089804
Dhx9,19.65411769,19.48694611,13.67141788,20.107525,52.96281043,ENSMUSG00000042699
Gm20045,0.789598038,0.925404209,1.583287617,0.829975672,0.372371946,ENSMUSG00000103983
Obfc1,1.348038025,1.97414959,2.128333542,1.443196134,2.941404697,ENSMUSG00000042694
Gm28139,0,0,0,0,0,ENSMUSG00000101338
